CUSTOMER_ID,CUSTOMER_NAME,DATE_OF_BIRTH
C-1,Lezlie Trott,1980-03-15
C-2,Joeann Shortt,1995-07-22
C-3,Violet Newingham,1982-11-05
C-4,Shanika Bang,1978-09-10
C-5,Tequila Carmen,1990-02-18
C-6,Tomi Hatt,1988-06-25
C-8,Odelia Thompkins,1985-12-14
C-9,Bernardo Vancamp,1965-08-20
C-10,Hilde Mustard,1999-01-08
C-11,Shenika Critchfield,1987-10-03
C-14,Adolfo Kinch,1983-09-01
C-17,Lachelle Cianciolo,1998-05-07
C-18,Enoch Whitford,1970-01-23
C-22,Maren Paulos,1984-07-03
C-24,Ben Eby,1966-10-05
C-25,Bill Lybrand,1986-05-22
C-26,Ellie Kegley,1996-01-31
C-28,Chaya Stalcup,1989-04-02
C-31,Elsy Tusing,1973-04-21
C-32,Demetra Tesar,1969-11-06
C-35,Dominick Smartt,1978-09-25
C-37,Winston Ohara,1967-12-28
C-39,Alba Weideman,1983-04-30
C-40,Ciara Kozel,1972-11-15
C-41,Beckie Tousignant,1965-07-01
C-42,Debby Musick,1990-01-18
C-43,Nikita Salgado,1977-08-04
C-44,Illa Flenniken,1984-02-21
C-45,Brittny Heffner,1999-10-08
C-49,Theresia Merriam,1976-03-14
C-51,Andrea Baker,2001-03-09
C-52,Faith Scott,1966-03-25
C-53,Erin Riley,2005-03-22
C-54,Paul Perez,1983-04-04
C-56,Victoria Moreno,1958-04-24
C-57,Terry Simon,1982-04-25
C-59,Luis English,1967-05-13
C-60,Christopher Jenkins,1985-05-15
C-61,Mr. Richard Snyder,1973-05-25
C-63,Rebecca Ross,1960-06-11
C-64,Kristen Chavez,1986-06-12
C-65,John Scott DDS,1996-06-16
C-66,Tanya Walker,1961-07-02
C-67,Tracy Davis,2005-06-28
C-68,Shelia Silva,1972-07-13
C-69,Paige Thomas,1957-07-24
C-70,Shannon Haney,1971-07-28
C-71,Lisa Stewart,1991-07-30
C-72,Shawn Hanna,1976-08-09
